,Datetime,Open,High,Low,Close,Adj Close,Volume
0,2022-01-01 00:00:00+00:00,46311.74609375,46726.55859375,46288.484375,46726.55859375,46726.55859375,0
1,2022-01-01 01:00:00+00:00,46723.66796875,46888.29296875,46650.3515625,46788.546875,46788.546875,56967168
2,2022-01-01 02:00:00+00:00,46798.84375,46914.19921875,46792.6796875,46847.390625,46847.390625,0
3,2022-01-01 03:00:00+00:00,46836.5,46861.91015625,46800.7421875,46833.10546875,46833.10546875,0
4,2022-01-01 04:00:00+00:00,46831.1484375,46878.140625,46703.1640625,46778.796875,46778.796875,81956864
5,2022-01-01 05:00:00+00:00,46743.33984375,47462.5234375,46715.87890625,47236.76171875,47236.76171875,817860608
6,2022-01-01 06:00:00+00:00,47238.9375,47264.80859375,47072.66796875,47092.64453125,47092.64453125,0
7,2022-01-01 07:00:00+00:00,47034.87890625,47141.4765625,46979.74609375,47137.828125,47137.828125,0
8,2022-01-01 08:00:00+00:00,47180.33203125,47276.17578125,47117.11328125,47163.0859375,47163.0859375,0
9,2022-01-01 09:00:00+00:00,47165.09375,47180.2890625,47007.69140625,47070.88671875,47070.88671875,0
10,2022-01-01 10:00:00+00:00,47075.671875,47199.9140625,46821.14453125,46938.0546875,46938.0546875,0
11,2022-01-01 11:00:00+00:00,46937.52734375,47000.58203125,46882.7265625,46882.7265625,46882.7265625,0
12,2022-01-01 12:00:00+00:00,46857.6796875,47130.55078125,46857.6796875,47091.625,47091.625,0
13,2022-01-01 13:00:00+00:00,47098.09375,47167.53125,47008.5078125,47024.3515625,47024.3515625,0
14,2022-01-01 14:00:00+00:00,47027.88671875,47065.5546875,46941.359375,46959.97265625,46959.97265625,0
15,2022-01-01 15:00:00+00:00,46946.3125,47361.44921875,46939.93359375,47219.03125,47219.03125,184115200
16,2022-01-01 16:00:00+00:00,47220.38671875,47454.9296875,47220.38671875,47308.640625,47308.640625,0
17,2022-01-01 17:00:00+00:00,47307.0859375,47827.3125,47273.37109375,47730.6796875,47730.6796875,0
18,2022-01-01 18:00:00+00:00,47736.18359375,47750.76953125,47511.4921875,47590.328125,47590.328125,0
19,2022-01-01 19:00:00+00:00,47573.47265625,47604.29296875,47362.81640625,47380.0546875,47380.0546875,0
20,2022-01-01 20:00:00+00:00,47378.12109375,47531.65234375,47322.203125,47427.89453125,47427.89453125,0
21,2022-01-01 21:00:00+00:00,47440.359375,47502.13671875,47349.36328125,47382.50390625,47382.50390625,0
22,2022-01-01 22:00:00+00:00,47382.36328125,47475.3984375,47329.078125,47447.60546875,47447.60546875,0
23,2022-01-01 23:00:00+00:00,47456.23828125,47620.421875,47385.65625,47620.421875,47620.421875,122068992
24,2022-01-02 00:00:00+00:00,47699.15625,47702.53125,47490.75,47649.75,47649.75,67899392
25,2022-01-02 01:00:00+00:00,47648.68359375,47651.28125,47366.5234375,47378.01171875,47378.01171875,0
26,2022-01-02 02:00:00+00:00,47379.6171875,47433.921875,47337.2265625,47402.1953125,47402.1953125,65714176
27,2022-01-02 03:00:00+00:00,47388.26171875,47445.09765625,47330.35546875,47390.140625,47390.140625,0
28,2022-01-02 04:00:00+00:00,47389.4140625,47414.50390625,46891.16015625,46936.2421875,46936.2421875,199094272
29,2022-01-02 05:00:00+00:00,46944.6875,47043.04296875,46941.34375,47043.04296875,47043.04296875,0
30,2022-01-02 06:00:00+00:00,47084.93359375,47211.171875,47052.03515625,47172.6171875,47172.6171875,0
31,2022-01-02 07:00:00+00:00,47172.6640625,47263.62109375,47147.34375,47170.23046875,47170.23046875,0
32,2022-01-02 08:00:00+00:00,47175.50390625,47231.94921875,47072.1953125,47231.94921875,47231.94921875,0
33,2022-01-02 09:00:00+00:00,47236.95703125,47393.234375,47191.53125,47304.4609375,47304.4609375,260220928
34,2022-01-02 10:00:00+00:00,47301.796875,47358.21484375,47257.12109375,47276.77734375,47276.77734375,0
35,2022-01-02 11:00:00+00:00,47244.55859375,47361.48828125,47242.99609375,47260.578125,47260.578125,0
36,2022-01-02 12:00:00+00:00,47272.609375,47375.98828125,47122.85546875,47344.0078125,47344.0078125,182669312
37,2022-01-02 13:00:00+00:00,47340.30078125,47340.30078125,47163.4609375,47176.23046875,47176.23046875,0
38,2022-01-02 14:00:00+00:00,47173.26953125,47236.38671875,47124.01171875,47168.53515625,47168.53515625,604590080
39,2022-01-02 15:00:00+00:00,47161.109375,47354.421875,47126.11328125,47328.89453125,47328.89453125,0
40,2022-01-02 16:00:00+00:00,47333.59765625,47730.2265625,47333.59765625,47730.2265625,47730.2265625,0
41,2022-01-02 17:00:00+00:00,47740.9140625,47881.40625,47452.44140625,47472.98046875,47472.98046875,487456768
42,2022-01-02 18:00:00+00:00,47471.4609375,47471.4609375,46856.9375,47009.8515625,47009.8515625,1773977600
43,2022-01-02 19:00:00+00:00,47012.75,47208.01171875,46950.9453125,46997.7265625,46997.7265625,639627264
44,2022-01-02 20:00:00+00:00,46996.64453125,47063.08984375,46951.69140625,47050.390625,47050.390625,2777321472
45,2022-01-02 21:00:00+00:00,47052.828125,47152.34375,46989.66796875,47047.89453125,47047.89453125,0
46,2022-01-02 22:00:00+00:00,47048.48046875,47332.0859375,47048.48046875,47288.203125,47288.203125,148367360
47,2022-01-02 23:00:00+00:00,47296.28125,47414.3359375,47295.91015625,47344.84375,47344.84375,0
