close,open,galaxy_score,alt_rank,correlation_rank,social_volume,social_dominance,average_sentiment,url_shares,tweets,tweet_spam,news,market_dominance,volatility,time
8383.843802,8315.912367,66.5,174,5.0,1880,30.39611964430073,3.7,826,1240,197,2,67.01157266851207,0.02808758,1569888000
8398.586675,8432.400181,65.0,190,5.0,1617,29.09319899244333,3.7,663,1092,147,1,67.4648160592255,0.02868388,1569891600
8513.840767,8348.554675,69.0,173,5.0,1913,31.87802032994501,3.6,716,1336,231,1,67.29918867983746,0.02976882,1569895200
8434.87475,8543.378378,69.0,198,4.0,2020,31.2210200927357,3.7,717,1461,246,1,66.62037276260158,0.03017601,1569898800
8533.241992,8454.341146,70.0,170,4.0,1748,31.03142197763181,3.7,671,1239,172,1,67.14639806858882,0.03095564,1569902400
8620.950906,8553.488743,58.0,174,3.0,1836,31.17677024961793,3.6,701,1308,197,1,67.17888381740396,0.03193992,1569906000
8600.995164,8450.245665,54.5,121,3.0,1916,35.86000374321542,3.7,735,1326,246,5,67.46134797469237,0.03249072,1569909600
8447.102892,8415.007954,62.5,104,2.0,2029,36.2904668216777,3.7,855,1381,239,1,67.60755057532054,0.03115955,1569913200
8413.986026,8437.720158,58.0,122,1.0,2274,38.3667960182217,3.7,971,1482,224,1,67.08493535666739,0.0291758,1569916800
8357.22611,8401.644822,51.0,126,1.0,2223,35.4206500956023,3.6,1025,1466,194,1,67.17819339270983,0.02627412,1569920400
8342.100368,8356.91116,52.5,166,1.0,2289,35.58215451577802,3.7,1094,1521,222,1,67.03199237863006,0.02328425,1569924000
8392.373806,8358.641787,56.0,146,1.0,2458,35.20481237467774,3.7,1220,1562,218,7,67.17323028209037,0.02064417,1569927600
8356.792776,8548.526643,55.5,103,1.0,2781,37.78019290857221,3.7,1083,1955,211,1,66.90798506919249,0.01906043,1569931200
8384.934491,8359.541451,45.5,107,1.0,3302,40.43100281621158,3.8,1288,2407,224,1,67.27750049347337,0.01765549,1569934800
8360.971677,8371.788397,56.0,106,1.0,3109,39.18084436042848,3.8,1250,2184,220,1,67.32398768179611,0.01594038,1569938400
8387.323848,8376.961302,61.0,330,2.0,2671,36.37477870080348,3.7,1033,1832,207,6,67.59360427365922,0.01348601,1569942000
8450.750938,8385.902552,64.5,206,2.0,2875,36.59623217922607,3.7,1161,1901,248,2,67.94459521577025,0.01202807,1569945600
8295.797062,8422.983193,54.0,255,2.0,2880,35.54239170677527,3.8,1126,1974,317,1,66.85974567877598,0.01175199,1569949200
8300.792146,8300.273995,61.5,184,1.0,2812,39.36721265574688,3.7,1000,1980,200,2,67.32360800512744,0.01189581,1569952800
8314.767959,8310.705624,56.0,215,1.0,2740,38.45074375526242,3.7,1396,1847,341,3,67.59239511497623,0.01190376,1569956400
8370.562477,8323.67443,57.0,112,1.0,2417,33.69110677446334,3.7,1062,1548,340,5,67.8794064301459,0.01174102,1569960000
8316.050659,8360.675891,56.0,185,1.0,2147,33.37478625835536,3.7,830,1447,237,1,66.93398413533504,0.01188229,1569963600
8352.393965,8328.465631,49.0,298,1.0,2165,36.22218504266355,3.7,1010,1405,247,1,67.44910900178922,0.01185012,1569967200
8316.712266,8340.37857,55.5,180,1.0,1943,35.98148148148148,3.7,857,1242,249,1,67.34731249397102,0.01148664,1569970800
8309.941794,8333.802498,58.5,107,1.0,1930,36.65716999050333,3.7,821,1274,268,1,67.3540887493708,0.01151429,1569974400
8307.921429,8308.250605,45.0,107,1.0,1678,34.47709061023217,3.7,705,1128,222,1,67.14394544580828,0.01016111,1569978000
8268.929242,8290.571293,52.5,198,1.0,1508,34.65869914962077,3.7,660,958,192,1,67.25783806899192,0.01055242,1569981600
8276.636197,8274.15715,48.0,149,2.0,1558,36.49566643241977,3.7,716,1017,207,1,67.60931447748986,0.01086271,1569985200
8238.90852,8271.376178,49.5,192,2.0,1555,35.58352402745996,3.7,618,1019,186,1,67.07944826320123,0.0113588,1569988800
8186.56633,8223.625944,51.0,181,3.0,1871,37.68378650553877,3.7,790,1280,228,1,67.19529554233648,0.01173464,1569992400
8231.165038,8205.267867,65.5,148,3.0,1878,36.5440747227087,3.7,772,1271,216,1,67.25196983930137,0.01202981,1569996000
8229.023932,8235.09646,60.0,188,4.0,1292,34.98510695911183,3.6,496,832,151,1,67.18988076993234,0.01168952,1569999600
8269.616221,8246.898851,66.0,198,5.0,1199,33.61368096439585,3.6,523,746,138,1,67.30859551922963,0.00993471,1570003200
8262.087475,8270.544386,67.0,137,5.0,1749,37.86533881792596,3.7,745,1117,153,1,67.21601449997546,0.00788774,1570006800
8280.705514,8276.085921,61.0,238,5.0,1448,36.24530663329161,3.7,562,942,226,1,67.53419015119685,0.00738965,1570010400
8290.05913,8276.013653,74.0,251,5.0,2332,36.58613115782868,3.6,971,1586,387,3,67.42453599800797,0.00705614,1570014000
8241.158677,8276.457314,75.5,157,5.0,2388,37.48822605965464,3.7,1041,1583,430,1,66.87190930196223,0.00716192,1570017600
8230.926504,8244.378348,80.0,216,5.0,2408,34.67242620590353,3.7,996,1613,389,1,66.90177917801739,0.0073313,1570021200
8249.446227,8228.425405,66.0,167,5.0,2671,32.76094689071508,3.7,1072,1765,346,1,67.25457552818669,0.00713448,1570024800
8242.251653,8235.173669,66.0,165,5.0,2589,32.77630079756931,3.7,1068,1754,427,1,67.30299911661844,0.00711781,1570028400
8315.318156,8261.974366,73.5,256,4.0,2601,32.67177490265042,3.7,989,1836,418,3,66.95090449252487,0.00681674,1570032000
8234.666731,8219.593839,59.0,202,4.0,2623,35.20332841229365,3.7,1122,1801,369,2,67.33651341125653,0.00674342,1570035600
8239.662134,8235.463205,62.5,209,4.0,2524,42.75067750677507,3.7,1118,1682,328,1,67.10432587498933,0.00640315,1570039200
8353.914902,8265.993381,65.0,198,3.0,2493,34.87201007133865,3.7,1136,1623,281,1,67.30134533327345,0.00531869,1570042800
8267.59641,8340.808973,72.0,252,4.0,2313,33.01927194860814,3.7,966,1509,274,1,67.27232909481684,0.00530938,1570046400
8317.731224,8754.98016,55.5,212,3.0,2433,33.25133251332513,3.7,1119,1610,250,1,67.26862757662883,0.0053626,1570050000
8383.06868,8323.476182,73.5,246,4.0,2180,33.7618088895772,3.7,903,1455,258,6,67.62981795753943,0.00581852,1570053600
8375.361513,8351.580093,63.0,230,3.0,1917,33.32753824756606,3.7,805,1253,228,1,67.61287433066079,0.00585924,1570057200
